match number,team number,How many did they score in the amp during the autonomous period?,How many did they score in the speaker during the autonomous period?,How many missed during the autonomous period?,Did they access the middle of the field during the autonomous period?,Did they exit their starting area during the autonomous period?,How many notes did the robot score in the amp during the teleoperated period?,How many notes did the robot score in speaker during the teleoperated period?,How many missed during the teleoperated period?,How long was their average cycle (seconds)?,How much time did they spend on defense?,How much time did they spend dead/broken?,Where was the robot at the end of the match?,Did they trap?,What type of robot are they?,Where did they mostly shoot from?,additional comments
6,2695,0,2,0,No,Yes,2,6,2,11,0,0,Somewhere else,No,Offense (both places),Right next to speaker,
11,2695,0,3,2,Yes,Yes,3,7,2,7,0,0,Somewhere else,No,Offense (both places),Open field (next to stage),
17,2695,0,3,2,Yes,Yes,0,14,1,10,0,0,Successful climb,No,Speaker,Open field (next to stage),
22,2695,0,4,0,No,Yes,0,9,2,10,0,0,Successful climb,No,Speaker,Open field (next to stage),Very good robot
33,2695,0,3,0,Yes,Yes,0,6,2,9,0,0,Successful climb,No,Speaker,Open field (next to stage),
38,2695,0,5,0,Yes,Yes,0,5,2,10,0,0,Failed climb,No,Offense (both places),Open field (next to stage),
38,2695,0,5,0,Yes,Yes,0,9,5,9,0,0,Failed climb,No,Speaker,Open field (next to stage),
46,2695,0,5,0,Yes,Yes,0,7,2,10,0,0,Somewhere else,No,Offense (both places),Open field (next to stage),Performance shows why they are number 1 
52,2695,0,3,0,No,Yes,1,6,2,15,0,15,Somewhere else,No,Offense (both places),Right next to speaker,Robot died in endgame
58,2695,0,3,1,Yes,Yes,4,6,3,15,0,0,Successful climb,No,Offense (both places),Open field (next to stage),
67,2695,0,5,0,Yes,Yes,0,12,0,13,0,0,Somewhere else,No,Speaker,Right next to speaker,
8,13930,0,1,1,No,No,0,10,1,10,0,0,Somewhere else,No,Speaker,Open field (next to stage),
14,13930,0,2,0,No,Yes,0,7,0,15,0,0,Somewhere else,No,Speaker,Right next to speaker,"Good driver, pretty fast, smooth intake. similar to our robot but worse"
14,13930,0,0,1,No,Yes,0,7,0,15,0,0,Somewhere else,No,Speaker,Right next to speaker,
19,13930,0,0,1,No,Yes,0,8,0,10,0,0,Parked,No,Offense (both places),Right next to speaker,
27,13930,0,0,0,No,Yes,1,4,1,20,0,0,Somewhere else,No,Offense (both places),Open field (next to stage),
36,13930,0,1,0,No,No,0,6,0,8,34,7,Somewhere else,No,Speaker,Open field (next to stage),Fast af
43,13930,0,0,0,No,No,0,8,0,13,0,0,Somewhere else,No,Speaker,Open field (next to stage),My dude was both quick and accurate 😱😱😱
43,13930,0,0,0,No,Yes,0,5,1,13,0,0,Somewhere else,No,Speaker,Open field (next to stage),
48,13930,0,1,0,No,No,0,6,2,16,0,0,Somewhere else,No,Speaker,Open field (next to stage),
71,13930,0,1,0,No,Yes,0,0,1,0,101,101,Parked,No,Defense,Can't shoot,Broken
7,17941,0,1,0,No,Yes,0,3,4,15,0,0,Successful climb,No,Offense (both places),Right next to speaker,
13,17941,0,1,0,No,Yes,0,6,1,1,0,40,Successful climb,No,Speaker,Right next to speaker,Robot died randomly halfway through match
24,17941,0,0,1,No,Yes,7,0,0,15,0,0,Successful climb,No,Amp,Amp,I think they can score speaker but they only did amp.
33,17941,0,0,1,No,Yes,3,2,2,22,0,0,Failed climb,No,Offense (both places),Open field (next to stage),
42,17941,0,0,2,No,Yes,0,4,1,21,0,0,Successful climb,No,Speaker,Right next to speaker,
47,17941,0,0,0,No,No,0,1,5,16,0,0,Successful climb,No,Speaker,Right next to speaker,
52,17941,0,2,0,No,Yes,1,6,0,21,0,0,Parked,No,Offense (both places),Open field (next to stage),
60,17941,0,0,0,No,Yes,4,2,0,23,0,0,Successful climb,No,Offense (both places),Right next to speaker,
