match number,team number,How many did they score in the amp?,How many missed amp shots?,How many did they score in the speaker?,How many speaker shots did they miss?,Did they access the middle of the field?,Did they exit their area?,How many notes did the robot score in the amp?,How many missed amp shots?,How many notes did the robot score in the speaker?,How many missed speaker shots?,How long was their average cycle?,How much time did they spend on defense?,How much time did they spend dead/broken?,Where was the robot at the end of the match?,Did they trap?,What type of robot are they?,Where did they mostly shoot from?,Additional Comments
36,78984,0,0,4,0,Yes,Yes,4,0,6,0,8,4,0,Parked,No,Offense (both places),Open field (next to stage),
38,224640,0,0,0,0,No,Yes,0,0,0,0,0,120,0,Parked,No,Defense,Can’t shoot,
38,218160,0,0,1,0,No,Yes,0,0,5,0,22,0,0,Parked,No,Speaker,Right next to speaker,
36,132168,0,1,0,0,No,Yes,0,0,4,3,15,0,0,Parked,No,Speaker,Right next to speaker,
37,234528,0,0,0,1,No,No,0,0,1,1,26,0,0,Parked,No,Speaker,Right next to speaker,
37,46488,0,0,1,0,No,No,0,0,6,1,16,0,0,Successful climb,No,Speaker,Right next to speaker,
38,219840,0,0,2,1,No,Yes,0,0,5,0,27,0,0,Parked,No,Speaker,Right next to speaker,
38,218160,0,0,1,0,No,Yes,0,0,5,0,15,7,0,Successful climb,No,Speaker,Open field (next to stage),The driver was not that good and kept driving around to weird places or having to spin around
38,220416,0,0,0,0,No,No,0,0,0,0,20,0,0,Parked,No,Speaker,Right next to speaker,
39,10680,0,0,1,0,No,No,0,0,2,0,17,0,0,Failed climb,No,Speaker,Right next to speaker,
39,3840,0,0,2,1,Yes,Yes,4,0,4,2,5,0,0,Successful climb,No,Offense (both places),Open field (next to stage),Missed a bunch of speaker shots and intake struggled to pick up a note
41,113856,0,0,0,0,No,No,5,0,2,1,18,0,0,Successful climb,Yes,Offense (both places),Right next to speaker,
41,143496,0,0,0,1,No,No,2,0,4,0,27,0,0,Successful climb,No,Offense (both places),Open field (next to stage),
41,227616,0,0,0,0,No,No,0,0,1,0,0,65,0,Parked,No,Speaker,Right next to speaker,tried to source intake and then kinda did nothing
41,132168,0,0,0,0,No,No,2,0,0,0,15,0,0,Somewhere else,No,Amp,Can’t shoot,got stuck in the other team’s stage for like 40 seconds
42,153840,0,0,3,1,No,No,0,0,6,3,17,0,8,Parked,No,Speaker,Right next to speaker,
42,21408,0,0,1,0,No,No,2,0,1,0,0,0,0,Successful climb,No,Offense (both places),Amp,got a note stuck in the robot
43,78984,0,0,2,0,Yes,Yes,3,0,3,1,18,0,0,Somewhere else,No,Offense (both places),Right next to speaker,
44,190584,0,0,2,0,No,Yes,0,0,3,2,0,0,0,Successful climb,No,Speaker,Right next to speaker,
44,153696,0,0,2,0,No,Yes,0,0,4,1,31,40,0,Successful climb,No,Speaker,Right next to speaker,quick climb
44,10680,0,0,0,0,No,No,2,0,2,0,22,29,0,Failed climb,No,Equal amounts offensive and defensive,Amp,
45,206208,0,0,0,1,No,Yes,2,0,0,0,33,0,0,Parked,No,Offense (both places),Right next to speaker,
46,63360,0,0,0,0,No,No,3,0,0,0,22,0,0,Parked,No,Amp,Can’t shoot,
46,111456,0,0,1,0,No,No,0,0,6,0,11,9,0,Successful climb,No,Speaker,Right next to speaker,
